时间,价格,数量,买卖方向
9:15:00,9.62,13,2S
9:15:00,9.68,13,2S
9:15:00,9.74,13,2S
9:15:00,9.8,13,2S
9:15:00,9.86,13,2S
9:15:00,9.92,13,2S
9:15:00,9.98,13,2S
9:15:00,9.95,5,2S
9:15:00,9.49,36,2S
9:15:00,9.59,36,2S
9:15:00,8.7,5,2B
9:15:00,8.9,10,2B
9:15:00,8.71,10,2B
9:15:00,8.61,10,2B
9:15:00,8.8,10,2B
9:15:00,9.3,5,2S
9:15:00,9.6,5,2S
9:15:00,9.9,5,2S
9:15:00,9.3,2,2S
9:15:00,8.4,7,2B
9:15:00,9.23,1,2S
9:15:00,10.12,20,2S
9:15:00,9.36,1,2S
9:15:00,9,2,2B
9:15:00,9.98,8,2S
9:15:00,9.2,12,2B
9:15:00,8.7,60,2B
9:15:00,9.11,150,2B
9:15:00,9.4,1,2S
9:15:00,9.05,20,2B
9:15:00,9.39,5,2S
9:15:00,9.59,5,2S
9:15:00,9.84,5,2S
9:15:00,10.12,5,2S
9:15:00,9.29,20,2S
9:15:00,9.39,20,2S
9:15:00,9.35,20,2S
9:15:00,9.26,20,2S
9:15:00,9.24,22,2S
9:15:00,9.26,22,2S
9:15:00,9.29,11,2S
9:15:00,9,5,2B
9:15:00,9.35,5,2S
9:15:00,9,5,2B
9:15:00,9.35,5,2S
9:15:00,9,5,2B
9:15:00,9.35,5,2S
9:15:00,9,5,2B
9:15:00,8.5,1,2B
9:15:00,8.4,1,2B
9:15:00,8.3,1,2B
9:15:00,9.52,28,2S
9:15:00,8.66,30,2B
9:15:00,10.12,10,2S
9:15:00,9.31,10,2S
9:15:00,9.1,8574,2B
9:15:00,9.69,9591,2S
9:15:00,9.3,10,2S
9:15:00,9.4,10,2S
9:15:00,9.5,10,2S
9:15:00,9.6,10,2S
9:15:00,9.7,10,2S
9:15:00,9.22,12,2S
9:15:00,9.28,22,2S
9:15:00,9.44,3,2S
9:15:00,9.3,3,2S
9:15:00,9,25,2B
9:15:00,8.99,26,2B
9:15:00,8.98,27,2B
9:15:00,8.97,28,2B
9:15:00,8.96,29,2B
9:15:00,8.95,30,2B
9:15:00,8.94,31,2B
9:15:00,8.93,32,2B
9:15:00,8.92,33,2B
9:15:00,8.91,34,2B
9:15:00,8.9,35,2B
9:15:00,9.3,22,2S
9:15:00,9.33,22,2S
9:15:00,9.36,22,2S
9:15:00,9.39,22,2S
9:15:00,9.42,22,2S
9:15:00,8.37,10,2B
9:15:00,9.75,3,2S
9:15:00,9.84,3,2S
9:15:00,9.94,3,2S
9:15:00,10.03,3,2S
9:15:00,10.12,4,2S
9:15:00,8.3,3,2B
9:15:00,8.74,3,2B
9:15:00,8.3,5,2B
9:15:00,9.06,10,2B
9:15:00,9.23,10,2S
9:15:00,9.08,10,2B
9:15:00,9.6,48,2S
9:15:00,9.6,36.6,2S
9:15:00,9.6,29,2S
9:15:00,9.28,500,2S
9:15:00,9.34,500,2S
9:15:00,9.44,8,2S
9:15:00,9.65,4,2S
9:15:00,10.12,3,2S
9:15:00,10.02,3,2S
9:15:00,9.92,3,2S
9:15:00,10.12,1.2,2S
9:15:00,9.82,2,2S
9:15:00,9.72,2,2S
9:15:00,9.62,2,2S
9:15:00,9.38,5,2S
9:15:00,9.25,20,2S
9:15:00,9.28,10,2S
9:15:00,9.32,927,2S
9:15:00,9.68,100,2S
9:15:00,9.78,100,2S
9:15:00,9.88,100,2S
9:15:00,9.98,100,2S
9:15:00,9.58,100,2S
9:15:00,8.69,29,2B
9:15:00,9.5,10,2S
9:15:00,9.68,200,2S
9:15:00,9.55,50,2S
9:15:00,9.19,3,2S
9:15:00,9.27,5,2S
9:15:00,9.39,25,2S
9:15:00,9.32,20,2S
9:15:00,9.25,16,2S
9:15:00,9.49,12,2S
9:15:00,9.25,2,2S
9:15:00,9.5,2,2S
9:15:00,9.75,2,2S
9:15:00,9.41,9,2S
9:15:00,9.45,9,2S
9:15:00,9.49,9,2S
9:15:00,9.53,9,2S
9:15:00,9.57,9,2S
9:15:00,9.61,9,2S
9:15:00,9.65,9,2S
9:15:00,9.69,9,2S
9:15:00,9.73,9,2S
9:15:00,9.77,9,2S
9:15:00,9.81,8,2S
9:15:00,9.85,8,2S
9:15:00,9.89,8,2S
